Fishing_Method ,Year,Tonnes
line fishing ,1990,3612.61
line fishing ,1991,3687.6
line fishing ,1992,3800.83
line fishing ,1993,3853.79
line fishing ,1994,3748.85
line fishing ,1995,4034.07
line fishing ,1996,4560.95
line fishing ,1997,5261.75
line fishing ,1998,5638.5
line fishing ,1999,5461.22
line fishing ,2000,5254.66
line fishing ,2001,6283.74
line fishing ,2002,6060.36
line fishing ,2003,5475.02
line fishing ,2004,3309.34
line fishing ,2005,2939.07
line fishing ,2006,2988.88
line fishing ,2007,2931.38
line fishing ,2008,3117.47
line fishing ,2009,3195.51
line fishing ,2010,2679.86
line fishing ,2011,2310.66
line fishing ,2012,2187.56
line fishing ,2013,2320.96
line fishing ,2014,2327.58
line fishing ,2015,2156.3
line fishing ,2016,2315.12
line fishing ,2017,2285.67
line fishing ,2018,2093.62
line fishing ,2019,1983.11
line fishing ,2020,1819.65
line fishing ,2021,1939.35
line fishing ,2022,1595.75
line fishing ,2023,1661.97
net fishing ,1990,"5,576.95"
net fishing ,1991,"5,167.51"
net fishing ,1992,"6,447.28"
net fishing ,1993,"5,164.46"
net fishing ,1994,"5,251.53"
net fishing ,1995,"6,116.77"
net fishing ,1996,"6,226.11"
net fishing ,1997,"5,994.40"
net fishing ,1998,"6,894.97"
net fishing ,1999,"7,348.60"
net fishing ,2000,"7,334.53"
net fishing ,2001,"8,691.70"
net fishing ,2002,"7,371.86"
net fishing ,2003,"8,551.70"
net fishing ,2004,"8,966.41"
net fishing ,2005,"7,149.63"
net fishing ,2006,"7,609.98"
net fishing ,2007,"7,298.23"
net fishing ,2008,"8,015.36"
net fishing ,2009,"7,492.29"
net fishing ,2010,"7,146.85"
net fishing ,2011,"7,193.12"
net fishing ,2012,"6,861.39"
net fishing ,2013,"6,341.24"
net fishing ,2014,"5,441.08"
net fishing ,2015,"6,097.76"
net fishing ,2016,"5,538.87"
net fishing ,2017,"5,603.14"
net fishing ,2018,"4,997.05"
net fishing ,2019,"3,626.09"
net fishing ,2020,"4,211.86"
net fishing ,2021,"4,605.61"
net fishing ,2022,"4,717.48"
net fishing ,2023,"4,357.89"
trawl fishing,1992,0
trawl fishing,1993,0
